transp_Bizr_Id,vehc_Id,vehc_Lcns_No,actual_vehc_Lcns_No,depot_Id,Seat,Stand,Deck,body_Bus_No,top_Up_Thold,alert_Thold,max_Quota_Etm,use_Yn
110100001,11344,WVG2397,WVG2397,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11345,WVG2370,WVG2370,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11346,WVA4137,WVA4137,BCV,30,34,Single,L226,2000,100,3500,Y
110100001,11347,WVC3796,WVC3796,BCV,30,34,Single,L276,2000,100,3500,Y
110100001,11348,WVC6428,WVC6428,BCV,30,34,Single,L272,2000,100,3500,Y
110100001,11349,WVC3869,WVC3869,BCV,30,34,Single,L280,2000,100,3500,Y
110100001,11350,WVD4822,WVD4822,BCV,30,34,Single,L227,2000,100,3500,Y
110100001,11351,WVD9730,WVD9730,BCV,30,34,Single,L267,2000,100,3500,Y
110100001,11352,WVE7352,WVE7352,BCV,30,34,Single,L261,2000,100,3500,Y
110100001,11353,WVE7649,WVE7649,BCV,30,34,Single,L271,2000,100,3500,Y
110100001,11354,WVE3035,WVE3035,BCV,30,34,Single,L287,2000,100,3500,Y
110100001,11355,WVE2825,WVE2825,BCV,30,34,Single,L289,2000,100,3500,Y
110100001,11356,WVE7257,WVE7257,BCV,30,34,Single,L282,2000,100,3500,Y
110100001,11357,WVC1862,WVC1862,BCV,30,34,Single,L191,2000,100,3500,Y
110100001,11358,WVD4836,WVD4836,BCV,30,34,Single,L273,2000,100,3500,Y
110100001,11360,WVH7743,WVH7743,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11361,WVH7696,WVH7696,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11362,WVH7894,WVH7894,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11365,WVH7912,WVH7912,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11366,WVH7683,WVH7683,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11367,WVH7632,WVH7632,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11368,WVH7655,WVH7655,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11371,WVH7906,WVH7906,BCV,30,34,Single,MA4,2000,100,3500,Y
110100001,11373,WVF1734,WVF1734,BCV,30,34,Single,SA6,2000,100,3500,Y
110100001,11381,WVH1852,WVH1852,BCV,30,34,Single,S331,2000,100,3500,Y
110100001,11386,WVJ1043,WVJ1043,BCV,30,34,Single,MAN,2000,100,3500,Y
110100001,11391,WVG5306,WVG5306,BCV,30,34,Single,SCA,2000,100,3500,Y
110100001,11393,WVF1692,WVF1692,BCV,30,34,Single,SCA,2000,100,3500,Y
110100001,11394,WVF5487,WVF5487,BCV,30,34,Single,S315,2000,100,3500,Y
110100001,11396,WVG8659,WVG8659,BCV,30,34,Single,S325,2000,100,3500,Y
110100001,11397,WVG8523,WVG8523,BCV,30,34,Single,S326,2000,100,3500,Y
110100001,11400,XBM6461,WB6461M,BCV,39,30,Single,S728,2000,100,3500,Y
110100001,11402,WVH1469,WVH1469,BCV,30,34,Single,SCA,2000,100,3500,Y
110100001,11406,WVJ8371,WVJ8371,BCV,30,34,Single,SCA,2000,100,3500,Y
110100001,11411,WVJ953,WVJ953,BCV,30,34,Single,S329,2000,100,3500,Y
110100001,11413,WVE3702,WVE3702,BCV,30,34,Single,S297,2000,100,3500,Y
110100001,11415,WVE3614,WVE3614,BCV,30,34,Single,S296,2000,100,3500,Y
110100001,11418,WVE3603,WVE3603,BCV,30,34,Single,S294,2000,100,3500,Y
110100001,11420,WVH9685,WVH9685,BCV,30,34,Single,S349,2000,100,3500,Y
110100001,11422,WVH1574,WVH1574,BCV,30,34,Single,S332,2000,100,3500,Y
110100001,11423,WVH9804,WVH9804,BCV,30,34,Single,S348,2000,100,3500,Y
110100001,11424,WVH9625,WVH9625,BCV,30,34,Single,S344,2000,100,3500,Y
110100001,11427,WVH9704,WVH9704,BCV,30,34,Single,S347,2000,100,3500,Y
110100001,11428,WVG3625,WVG3625,BCV,30,34,Single,S314,2000,100,3500,Y
110100001,11429,WVH9827,WVH9827,BCV,30,34,Single,S345,2000,100,3500,Y
110100001,11431,WVH9594,WVH9594,BCV,30,34,Single,S343,2000,100,3500,Y
110100001,11432,WVH6234,WVH6234,BCV,30,34,Single,S338,2000,100,3500,Y
